what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467946913407
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1467946916114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467946916207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1467946919408
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467946920980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467946923478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467946931746
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467946932376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467946932486
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467946933408
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467946933502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467946935501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1467946938535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467946939577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467946942712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467946944504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467946950600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467946976272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467946996615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467947013534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467947025457
